0,138.89
1,238.61
2,338.33
3,438.05
4,537.77
5,637.49
6,737.21
7,836.93
8,936.65
9,1036.37
10,1136.09
11,1235.81
12,1335.53
13,1435.25
14,1534.97
15,1634.69
16,1734.41
17,1834.13
18,1933.85
19,2033.57
20,2133.29
21,2233.01
22,2332.73
23,2432.45
24,2532.17
25,2631.89
26,2731.61
27,2831.33
28,2931.05
29,3030.77
30,3130.49
31,3230.21
32,3329.93
33,3429.65
34,3529.37
35,3629.09
36,3728.81
37,3828.53
38,3928.25
39,4027.97
40,4127.69
41,4227.41
42,4327.13
43,4426.85
44,4526.57
45,4626.29
46,4726.01
47,4825.73
48,4925.45
49,5025.17
50,5124.89
51,5224.61
52,5324.33
53,5424.05
54,5523.77
55,5623.49
56,5723.21
57,5822.93
58,5922.65
59,6022.37
60,6122.09
61,6221.81
62,6321.53
63,6421.25
64,6520.97
65,6620.69
66,6720.41
67,6820.13
68,6919.85
69,7019.57
70,7119.29
71,7219.01
72,7318.73
73,7418.45
74,7518.17
75,7617.89
76,7717.61
77,7817.33
78,7917.05
79,8016.77
80,8116.49
81,8216.21
82,8315.93
83,8415.65
84,8515.37
85,8615.09
86,8714.81
87,8814.53
88,8914.25
89,9013.97
90,9113.69
91,9213.41
92,9313.13
93,9412.85
94,9512.57
95,9612.29
96,9712.01
97,9811.73
98,9911.45
99,10011.17
